Word,Frequency
"
",6499
 ,3195
中国,894
世界杯,615
2023,544
年,394
全国,346
杭州,284
开赛,280
成都,272
冠军,269
体育,266
选手,247
世界,216
锦标赛,214
足球,214
联赛,208
国际,205
晋级,201
新,192
公开赛,181
世锦赛,172
夺冠,163
北京,160
马拉松,155
中国队,154
斯诺克,151
开幕,150
落幕,149
跑,147
站,146
残运会,144
比赛,143
亚,140
决赛,136
中,133
人,132
2022,131
巴黎,129
运动,129
球员,128
总决赛,126
青少年,124
女子,124
月,123
强,123
赛事,121
冰雪,121
大运会,119
首届,117
名单,116
卡塔尔,116
3,113
赛季,113
参赛,113
收官,112
获,112
运动员,111
举办,111
亚运会,107
赛,105
发展,105
梅西,105
后,104
球队,104
战胜,104
公布,102
中国女足,96
健身,96
活动,95
大,94
CBA,92
不,91
组,90
大运,89
队,87
启动,87
女足,86
游泳,86
男子,86
再,86
日,85
冠军赛,85
主帅,84
开,84
奥运,82
杯,81
名,80
32,80
亚运,79
滑雪,79
C,78
4,77
运动会,75
篮球,75
国,75
女排,74
收获,72
夺得,72
10,71
项目,71
亚洲杯,71
男篮,71
丁俊晖,71
米,70
备战,70
中国女排,69
击败,69
亚洲,69
无缘,69
金牌,68
1,68
挑战赛,68
全民,68
天津,67
开启,67
上演,67
足,67
奥运会,66
俱乐部,66
上海,66
上,65
羽毛球,65
邀请赛,65
新疆,65
网球,65
国家,65
阿根廷,65
期待,64
冬奥,64
出炉,62
16,62
世乒赛,62
纪事,61
速滑,61
中国男篮,61
5,60
巡回赛,59
金,58
2,58
届,58
大赛,57
角逐,57
浙江,57
短道,57
助力,56
亮相,56
国乒,56
逆转,56
青年,55
八强,55
四强,55
8,54
迎,54
城市,54
罗,54
参加,53
出线,53
领衔,53
中超,53
重庆,53
历史,53
鸣枪,52
赛场,52
主场,52
包揽,51
更,51
球迷,51
首次,50
6,50
最佳,50
集训,50
12,49
正式,49
希望,49
大师赛,49
预赛,49
学青会,49
11,48
挑战,48
日本,48
丨,48
岁,48
团体,48
马拉松赛,47
已,47
组合,47
回归,46
会,46
场馆,46
世,46
20,46
结束,45
主席,45
成,45
参与,45
首秀,44
发布,44
韩国,44
前,44
30,44
大会,44
近,44
未来,44
WTT,44
小组赛,44
成功,43
出局,43
还,43
田径,43
中国女篮,43
大胜,43
跳水,42
支,42
7,42
男单,42
首轮,42
女篮,42
国羽,42
最,41
青春,41
奥运冠军,41
巴西,41
速度,41
第一,41
孙颖莎,41
超级,41
中国足协,40
混合,40
仍,40
天,40
代表团,39
香港,39
高尔夫,39
时隔,39
国足,39
前瞻,38
记者,38
开门红,38
创,38
自行车,38
德国,38
广州,38
提前,38
资格赛,38
排球,38
纪录,38
出战,37
四川,37
打造,37
日本队,37
冬奥会,37
军团,37
三人,37
年度,37
摩洛哥,37
当选,36
融合,36
都,36
梦想,36
倒计时,36
主教练,36
正赛,36
资格,36
法国队,36
巡礼,36
混双,35
18,35
入选,35
31,35
三,35
出征,35
汽车,35
连胜,35
即将,34
大学生,34
启幕,34
有望,34
围棋,34
不敌,34
100,34
文化,34
挺进,34
法国,34
林,34
半程,34
英锦赛,34
胜,33
村,33
荷兰,33
裁判,33
工作,33
回应,33
教练,33
走进,33
广西,33
21,33
对手,32
9,32
校园,32
重返,32
国家队,32
场地,32
男足,32
门票,31
名将,31
卫冕,31
竞技,31
一场,31
国际足联,31
场,31
官方,31
举重,31
乒乓球,31
小将,31
2024,31
职业,31
大战,31
手记,31
超,30
训练,30
科技,30
成绩,30
广东,30
攀岩,30
半决赛,30
福建,30
男女,30
领先,30
乡村,30
15,30
国际乒联,30
葡萄牙,30
西班牙,29
遭遇,29
足协,29
世界冠军,29
人物,29
突破,29
全球,29
健康,29
银,29
打破,29
BA,28
小,28
13,28
爆冷,28
产业,28
奖牌,28
胜利,28
首个,28
沙特,28
进球,28
英格兰,28
传统,27
好,27
余名,27
夺,27
中国篮球,27
需,27
女单,27
小组,27
直通,27
德班,27
走,27
冬季,27
分,27
点球,27
体验,26
50,26
目标,26
头名,26
队伍,26
次,26
枚,26
交流,26
年轻,26
加盟,26
两连胜,26
大满贯,26
战平,26
吉林,26
苏迪曼杯,26
海南,25
迎来,25
阶段,25
万名,25
亚军,25
江苏,25
00,25
中心,25
冲击,25
少年,25
揭幕,25
落户,25
中外,25
科维奇,25
非洲,25
斩获,25
闭幕,25
新加坡,25
暨,25
球,25
冰壶,25
大众,25
体操,25
精彩,25
