Word,Frequency
"
",1076
 ,219
中国,140
国防部,84
海军,78
新,62
战区,57
联合,57
强军,49
2023,46
空军,42
丨,38
时代,37
训练,37
中,37
舰,36
官兵,32
部队,30
英雄,30
20,30
演练,29
陆军,28
军营,27
实战,26
和平,25
组织,25
飞行,24
军事,24
年,23
某旅,22
军队,22
两军,22
青春,22
军人,22
参加,22
2022,22
海上,21
观察,21
编队,21
护航,20
东部,20
南部,20
赴,19
保障,19
退役军人,19
回家,19
烈士,19
国际,18
路,18
上,17
回应,17
集团军,16
海域,16
解放军,16
美,16
化,16
联合演习,16
武警,16
砺,15
首次,15
作战,15
西藏,15
征途,15
美方,14
中方,14
空中,14
分队,14
能力,14
战场,14
忠诚,14
八一,14
台岛,14
奋飞,14
练兵,13
俄,13
装备,13
人,13
巡航,13
海警,13
最美,13
建设,13
学员,13
老兵,13
祖国,13
战位,13
走,13
高原,13
力量,12
合作,12
工作,12
联演,12
某团,12
南海,11
兵,11
巡逻,11
位,11
故事,11
后,11
维和,11
中国国防部,11
次,11
守护,11
协同,11
活动,11
歼,11
战友,11
海洋,11
卫士,11
舰艇,11
中国空军,11
逐梦,11
发布,11
一个,11
备战,10
梦想,10
锻造,10
成长,10
深蓝,10
年度,10
周年,10
非法,10
领海,10
批赴,10
批,10
美舰,10
访问,10
警告,10
运,10
亮相,10
提升,10
中央军委,10
戚继光,10
维和部队,10
周边,10
军,10
演训,10
第一,9
北部,9
国防,9
全军,9
对话,9
世界,9
基层,9
航迹,9
战略,9
发展,9
展开,9
论坛,9
体系,9
蓝天,9
昼夜,9
转型,9
演习,9
一名,9
实弹射击,9
新兵,9
追光,9
战士,9
探索,8
停止,8
视频,8
人才,8
军校,8
精神,8
刚果,8
军舰,8
比赛,8
十年,8
写,8
遗骸,8
担当,8
战机,8
远海,8
边防,8
反对,8
边关,8
支队,8
号,8
航行,8
导弹,8
飞行员,8
人民,8
飞,8
航展,8
都,7
尖兵,7
炒作,7
地区,7
中国人民解放军,7
看,7
依法,7
驱离,7
钓鱼岛,7
金,7
工兵,7
新闻,7
发言人,7
2,7
志愿军,7
更,7
中巴,7
友谊,7
多国,7
北京,7
青年,7
政治,7
一线,7
结束,7
跨,7
抵达,7
机动,7
总队,7
医院船,7
军旅,7
奋斗,7
航空兵,7
我军,7
最,7
军分区,7
书写,7
现场,7
直击,7
时,7
见证,7
打赢,7
航母,7
创新,7
征程,7
新疆军区,7
足迹,7
杜,7
富国,7
大国,7
运油,7
提高,6
新年,6
亚丁湾,6
维护,6
稳定,6
军士,6
加速,6
回国,6
月,6
山东,6
仁爱,6
礁,6
实施,6
对抗,6
菲律宾,6
船只,6
日,6
新型,6
3,6
过航,6
台湾海峡,6
制胜,6
走近,6
续写,6
联合作战,6
文化,6
西沙,6
山河,6
已,6
出席,6
表演队,6
考核,6
新加坡,6
专家,6
中部,6
打击,6
特战,6
福建,6
友好访问,6
致敬,6
方舟,6
持续,6
参演,6
推进,6
突击,6
合成,6
旅,6
海事局,6
民兵,6
冲锋,6
边疆,6
下,6
战斗力,6
剑,6
不,6
一场,6
去,6
勋章,6
胜利,6
检验,6
热血,6
红色,6
二十大,6
一群,6
坚守,6
风雪,6
新春,6
戍边,6
海,6
空域,6
魏凤,6
军旗,6
10,5
马里,5
挑衅,5
交流,5
军事训练,5
使命,5
狙击手,5
里,5
士兵,5
27,5
联合国,5
一支,5
接力,5
全国,5
出征,5
擅闯,5
邻近,5
侦察,5
边境,5
部门,5
沟通,5
国,5
荣光,5
韩,5
岁,5
代表团,5
东盟,5
防长,5
我国,5
72,5
直升机,5
全程,5
俄罗斯,5
推动,5
关系,5
台,5
文职人员,5
代表,5
出击,5
仪式,5
反恐,5
中队,5
柬,5
天使,5
空军航空兵,5
救援,5
磨砺,5
防空,5
禁止,5
大队,5
驰骋,5
革命军人,5
侧记,5
战鹰,5
记,5
远方,5
事务部,5
走进,5
利剑,5
海天,5
项目,5
雏鹰,5
军区,5
主题,5
教育,5
胜战,5
西部,5
聚焦,5
科技,5
做,5
某部,5
学习,5
军事演习,5
会,5
一流,5
深处,5
未来,5
山南,5
打仗,5
火力,5
航天,5
第十四届,5
重器,5
小时,5
南昌,4
先进事迹,4
思想,4
奋进,4
特情,4
捍卫,4
防卫,4
美国,4
中美,4
成果,4
时刻,4
投入,4
驻,4
牢记,4
走向,4
00,4
天,4
印发,4
入列,4
4,4
7,4
菲方,4
带,4
年轻,4
南沙,4
柬埔寨,4
缅,4
台湾,4
武器,4
防务,4
两,4
之际,4
速写,4
接,4
8,4
东海,4
第十届,4
扩大会,4
模式,4
航空展,4
工程,4
数据,4
精准,4
香山,4
闭幕,4
国防部长,4
事,4
历史,4
服务,4
轮换,4
探访,4
全,4
卫勤,4
执行,4
利刃,4
感受,4
报告,4
驶入,4
淬炼,4
铁骑,4
武警部队,4
绽放,4
连长,4
速度,4
女,4
守卫,4
哨兵,4
航空,4
抗美援朝,4
出,4
锋刃,4
竞赛,4
淬火,4
课堂,4
基地,4
二,4
震撼,4
参谋部,4
振翅,4
开幕,4
连队,4
传承,4
74,4
战术,4
火箭,4
风采,4
开放,4
矢志,4
之光,4
柬金龙,4
深化,4
雷锋,4
诗,4
30,4
雪山,4
人民军队,4
征兵,4
鲲鹏,4
复兴,4
踏雪,4
无名,4
辽宁,4
路上,4
指挥,4
远程,4
营,4
跨越,4
红,4
放心,4
现代化,4
展示,4
公布,4
退伍,4
综合,4
永远,4
东方,4
敬个,4
礼,4
墨脱,4
习,4
主席,4
激发,3
人员,3
图,3
开训,3
务实,3
举措,3
硬功,3
雷达,3
直面,3
谋,3
改革,3
日方,3
高度,3
菲,3
插手,3
批驳,3
2024,3
通话,3
方阵,3
香港,3
5,3
讲述,3
答卷,3
炼成,3
新篇,3
圆满完成,3
招收,3
1,3
正式,3
一组,3
数字,3
壮美,3
云端,3
排爆,3
侵闯,3
45,3
技能,3
教学,3
兵种,3
老挝,3
班,3
情怀,3
行径,3
保护,3
想,3
规范,3
第十,3
中国人民志愿军,3
跟踪,3
监视,3
国家主权,3
细节,3
太,3
远航,3
再,3
举办,3
广西,3
选拔,3
特色,3
劲舞,3
巴基斯坦,3
视频会议,3
南,3
顺利,3
前,3
全方位,3
温暖,3
谈,3
舰载,3
加,3
跟监,3
警戒,3
全球,3
