Word,Frequency
"
",4999
 ,1822
原,858
受贿,486
通报,453
违纪,450
干部,448
人,402
官员,401
年,325
涉嫌,322
调查,310
处分,258
原副,239
万,239
获刑,232
查处,229
书记,229
违反,227
名,226
纪委,219
副,218
八项,218
双开,215
接受,209
典型,207
主任,206
中央,204
组织,195
违规,191
湖南,186
巡视,183
局长,177
中纪委,174
立案侦查,168
市长,167
广东,160
四川,159
受贿罪,157
开除党籍,151
腐败,148
落马,148
3,144
精神,144
北京,138
不,134
被查,133
4,130
5,128
公款,122
集团,121
湖北,120
领导,119
逮捕,113
审查,111
贪官,107
扶贫,105
2,104
党组,104
6,100
河南,99
提起公诉,98
市委,97
涉,95
受审,93
腐败问题,93
广西,93
月,92
主席,92
反腐,92
安徽,90
案件,87
10,87
政协,87
副局长,87
专项,85
媒体,85
河北,83
案例,82
云南,82
董事长,81
巡视组,81
领域,80
情况,80
福建,80
党委书记,79
贪腐,78
江西,78
去年,76
万元,74
7,74
贵州,73
8,73
问责,71
机关报,70
院长,69
举报,69
曾,68
江苏,64
山东,64
单位,64
党员干部,63
资金,62
前,61
人员,61
总经理,60
11,60
山西,59
群众利益,59
谈,59
案,59
收,59
常委,58
村干部,58
中国,58
贪污,58
党委,57
近,57
后,57
件,56
1,55
公司,55
移送,54
辽宁,54
受,54
纪律,54
工作,53
不正之风,52
2015,52
官,51
免职,51
查,51
办,51
行贿,50
广东省,50
副总经理,50
新疆,50
内蒙古,50
侵害,50
被判,50
12,50
海南,49
整改,49
大,48
责任,48
多名,48
贪,47
监督,47
成,47
立案,47
图,47
两,46
村支书,46
天津,46
称,46
一审,46
厅级,46
发现,45
违法,45
收受,45
上,44
人大常委会,44
补贴,44
超,44
企业,44
旅游,44
查办,44
群众,43
曝光,43
国企,43
犯罪,43
余万,43
陕西,42
线索,42
成员,42
广州,42
被控,42
副厅长,41
公诉,41
9,41
已,41
钱,41
人大,41
浙江,40
不力,40
四风,40
职务犯罪,39
村官,39
纪检,39
甘肃,38
中,38
20,37
14,37
退休,37
外逃,36
挪用公款,36
秘书长,36
忏悔,36
湖南省,35
宁夏,35
成都,35
借,35
国家,35
2016,35
套取,35
小,34
检察机关,34
机关,34
村民,34
窝案,34
厅官,34
纪委书记,34
县委书记,33
15,33
巡视员,33
党组书记,33
身边,33
黑龙江,33
千万,33
对抗,33
拆迁,33
纪检监察,32
公车,32
党内,32
学院,32
礼金,32
下属,32
重庆,31
有限公司,31
落实,31
吉林,31
政府,31
半,31
红包,31
反馈,31
十八,30
校长,30
案一审,30
亿,30
一把手,30
建设,30
看,30
13,30
市委书记,29
涉案,29
警告,29
余万元,29
审查起诉,29
敛财,29
判刑,29
罪,29
辽宁省,28
发放,28
职务,28
撤职,28
遭,28
四川省,28
王,28
副省长,27
亿元,27
上海,27
约,27
均,27
追责,27
投资,26
款,26
基层,26
都,26
潜逃,26
动员会,26
长,25
杭州,25
抓,25
红通,25
两名,25
严查,25
检方,25
骗取,24
部长,24
一副,24
仍,24
元,24
没,24
发,24
厅长,24
公安局,24
逾,23
挪用,23
纪检组,23
16,23
副县长,23
17,23
征地,23
收钱,23
送礼,23
获,23
检察院,23
依法,23
期间,23
市委常委,23
接待,22
吃,22
副区长,22
全国,22
宣判,22
河北省,22
委员会,22
贵州省,22
女,22
婚宴,22
送,22
骗,22
发展,22
福利,22
南京,22
系统,22
致,21
教育,21
贪污受贿,21
报销,21
深圳,21
开庭,21
省部级,21
家,21
简历,21
集体,20
自首,20
赌博,20
负责人,20
整治,20
还,20
60,20
发改委,20
党员,20
办公室,20
搞,20
老板,20
安徽省,20
情妇,20
19,20
百万,20
索贿,19
雁过拔毛,19
式,19
利用,19
国资委,19
管理,19
重庆市,19
能源,19
公职,19
买,19
政治,19
区,19
剖析,19
万余元,19
次,19
武汉,19
西藏,19
三名,19
政法委,19
追逃,19
经济,19
报告,19
妻子,19
嫌疑人,19
受贿案,19
金额,19
昆明,19
医院,19
公车私用,19
18,18
儿子,18
案开庭,18
杨,18
河南省,18
补偿款,18
主动,18
公职人员,18
处级,18
地方,17
权力,17
被免,17
山东省,17
银行,17
农村,17
西安,17
新,17
执纪,17
老虎,17
未,17
滥用职权,17
一年,17
区长,17
开,17
有人,17
腐败案,17
提拔,17
工程,17
50,17
法院,17
处长,17
名厅,17
副总,17
云南省,16
工作人员,16
环保局,16
湖北省,16
中心,16
公款吃喝,16
公布,16
会,16
组长,16
宴,16
制度,16
集团公司,16
青海,16
顶风,16
小金库,16
李,16
200,16
回头,16
劝返,16
400,16
局级,16
人受,16
300,16
江西省,16
多万,16
部门,16
追究,16
扶贫办,15
超标,15
换届,15
百名,15
一个,15
最高检,15
非法,15
再,15
背后,15
审计,15
宴请,15
时,15
公务,15
操办,15
专家,15
人因,15
指,15
变,14
检查,14
想,14
长沙,14
冒领,14
中央纪委,14
低保,14
经理,14
所长,14
两个,14
人民日报,14
追回,14
司法,14
厅,14
从严治党,14
高,14
房产,14
委员,14
县委,14
广州市,14
盘点,14
被捕,14
三,14
出国,14
县处级,14
天津市,14
出,14
炒股,13
商人,13
黑龙江省,13
26,13
医院院长,13
高校,13
驻,13
好处费,13
巨贪,13
落网,13
自称,13
做,13
担当,13
党纪政纪,13
司法机关,13
村主任,13
住,13
家人,13
信息,13
男子,13
点名,13
30,13
现象,13
甘肃省,13
撤销,13
大学,13
花,13
涉贿,13
公安厅,13
副厅级,13
县长,13
总局,13
正,13
28,13
环保部,13
福建省,13
女儿,13
起四风,13
市,12
去,12
四名,12
镇,12
会计,12
移交,12
信访,12
微信,12
项目,12
发生,12
人情,12
办事,12
回应,12
国家机关,12
日报社,12
无期,12
路,12
截留,12
破坏,12
工资,12
关系,12
局原,12
说,12
反腐败,12
私设,12
环保,12
好,12
经商,12
国土局,12
国际,12
