Word,Frequency
"
",4999
 ,1888
美国,726
中国,617
人,479
发生,316
加沙,287
死亡,283
日本,279
国际,256
年,225
地震,212
总统,210
称,209
已致,196
以色列,195
中,169
美,158
致,151
已,148
地带,146
经济,145
2023,143
合作,136
一带,135
发展,133
世界,133
一路,132
外媒,125
冲突,123
全球,123
以军,122
巴,122
级,121
驻,119
拜登,116
事件,116
超,114
月,112
泰国,111
联合国,111
哈马斯,110
总理,109
英国,105
袭击,102
美媒,101
持续,99
局势,94
前,93
印尼,90
乌克兰,90
举办,90
加拿大,88
受伤,88
韩国,88
菲律宾,87
新,86
10,86
遇难,86
2024,83
名,82
2,81
俄,81
枪击,81
普京,80
乌,78
俄罗斯,77
国家,75
停火,75
丨,74
死,74
人数,68
1,67
活动,66
南非,66
事故,65
议长,65
不,64
遭,64
民众,63
4,62
印度,62
大使,62
伊朗,61
至少,61
研究,60
地区,59
欧盟,58
最新,57
空袭,57
进展,57
呼吁,56
法国,55
仍,55
伤,55
澳大利亚,55
提供,55
政府,54
国,54
周年,54
3,53
特朗普,53
使馆,53
官员,52
突发,51
德国,51
5,51
柬埔寨,50
援助,50
日,50
专家,49
万,49
大规模,49
俄乌,49
后,48
海域,48
领导人,48
计划,47
调查,47
紧急,47
人道主义,47
选举,46
能登,46
更,46
南部,46
美军,46
韩,46
增长,45
首都,45
人员,45
文化,45
移民,44
巴勒斯坦,44
启动,44
危机,44
飞机,44
万人,44
11,43
马来西亚,43
支持,42
叙利亚,42
学者,42
倡议,42
哈萨克斯坦,41
访问,41
李在明,41
首次,41
欧洲,41
说,41
观察,40
最,40
组织,40
相撞,40
威胁,40
无人机,40
埃及,39
影响,39
深度,38
20,38
面临,38
临时,38
目标,38
中方,38
儿童,38
枪支,38
丝路,38
震源,37
回应,37
火灾,37
爆炸,37
发现,37
旅游,37
岁,36
政治,36
6,36
世界观,36
媒体,36
批准,36
代表,36
医院,35
千米,35
北部,35
创新,35
引发,35
警方,35
报告,35
巴西,35
上,35
再,35
秘书长,35
通胀,35
近,34
50,34
亿美元,34
发布,34
12,34
枪击案,34
正式,34
机场,34
论坛,34
评理,34
辞职,33
石川县,33
大,33
武装,33
识局,33
连斯基,33
共建,32
伤亡,32
9,32
恢复,32
东京,32
罢工,32
内,32
讨论,32
人权,32
决议,32
伊拉克,31
打击,31
首尔,31
大熊猫,31
西方,31
交流,31
气候,31
内阁,31
政策,30
出席,30
升至,30
实施,30
边境,30
释放,30
泽,30
法案,29
会,29
军事行动,29
一架,29
非法,29
身亡,29
纽约,29
8,29
推动,29
投票,28
暴力,28
14,28
历史,28
成功,28
约,28
游客,28
黎巴嫩,28
本轮,28
机构,28
应,28
土耳其,28
高,28
30,27
再次,27
丧生,27
多人,27
加剧,27
签署,27
暂停,27
去世,27
未来,27
扣押,27
东盟,27
7,26
白宫,26
红海,26
火山,26
发言人,26
地面,26
应对,26
关系,26
升级,26
军方,25
省,25
助力,25
一名,25
中文,25
韩媒,25
中心,25
期待,25
副,25
停火协议,25
曼谷,25
外长,25
成立,25
摩洛哥,25
遇袭,24
下降,24
日媒,24
导弹,24
国会,24
公司,24
谴责,24
