Word,Frequency
"
",2316
 ,776
楼市,291
月,252
住房,249
公积金,205
房企,193
房地产,180
政策,173
市场,168
城市,152
中国,150
购房,147
北京,143
二手房,130
城,121
贷款,119
年,118
新房,112
多地,110
房贷,97
首付,93
成交,91
房贷利率,91
限购,88
调整,84
套房,82
支持,78
商品房,78
20,77
首套,76
亿元,76
租赁,75
环比,74
不,73
深圳,71
万元,71
融资,71
买房,69
家庭,69
同比,68
房价,66
销售,66
新政,65
5,63
银行,62
租房,59
超,58
广州,57
新,57
后,57
取消,56
补贴,56
4,55
降,53
下调,53
3,53
10,53
比例,52
报告,50
出台,49
改善,48
1,48
70,47
回暖,47
8,45
国家统计局,45
资金,45
有望,45
仍,44
价格,44
利率,44
万,44
上海,43
项目,43
郑州,43
楼盘,43
下降,43
发展,42
保交楼,42
一线,41
信号,41
拟,41
还,40
增长,39
已,39
住,39
降至,38
松绑,38
提取,38
2022,38
成交量,37
50,37
首,37
发布,37
投资,37
住宅,36
优化,36
影响,36
最低,36
需求,36
行业,36
全国,36
地产,36
企业,36
6,36
房,36
机构,35
7,35
贷款额度,35
30,34
前,34
供地,34
保障性,33
持续,33
过户,33
鼓励,32
9,32
回升,32
购买,32
多家,31
部门,31
提前,31
近,31
上涨,31
稳,31
回应,30
面积,30
监管,30
预售,30
80,30
12,29
模式,29
释放,29
月份,29
存量,29
宗,29
成,28
称,28
还贷,28
购房者,28
带押,28
家,28
贷,28
提高,28
2,27
消费,27
40,27
套,27
销售额,26
调控,26
交易,26
落地,26
大,26
中介,26
风险,26
南京,26
上市,26
专家,26
新建,25
土地,25
用地,25
公司,25
杭州,25
2023,24
限售,24
利好,24
百强,24
商品住宅,24
央行,24
百城,24
供应,23
河南,23
业主,23
内,23
亿,23
广东,23
推出,23
热度,23
逾,23
额度,23
再,22
需,22
交付,22
认房,22
开发,22
元,22
上半年,22
买,22
人才,22
下限,21
年内,21
申请,21
复苏,21
土拍,21
租金,21
产权,21
房产,21
四川,21
契税,21
加速,20
区域,20
认贷,20
人,20
武汉,20
下,20
降低,20
恢复,20
成都,20
天津,20
推动,19
会,19
15,19
11,19
下跌,19
规模,19
实施,19
保,19
LPR,19
计划,19
浙江,19
建部,19
预计,19
放宽,19
一季度,19
平稳,19
万套,18
信心,18
多个,18
二,18
加快,18
连续,18
子女,18
银,18
保监会,18
疫情,18
安徽,18
集团,18
去年,17
已有,17
迎,17
量,17
商品,17
最新,17
中,17
居民,17
挂牌,17
地块,17
共有,17
房屋,17
多孩,17
首次,17
海南,17
缴存,17
17,16
东莞,16
房源,16
提升,16
约,16
变化,16
更,16
企稳,16
小阳春,16
背后,16
团购,16
物业,16
增加,16
优质,16
首个,15
金融,15
写字楼,15
加大,15
三,15
经济,15
发力,15
标准,15
推进,15
促销,15
业务,15
执行,15
建设,15
试点,15
都,15
利息,15
多城,15
时代,15
登记,15
出手,15
60,15
岁,15
未,15
可贷,15
2021,15
16,14
二手,14
重点,14
空间,14
预期,14
销售价格,14
民营,14
应,14
住房贷款,14
千亿,14
进一步,14
环境,14
压力,14
落户,14
新增,14
经营,14
延期,14
小区,14
资产,14
山东,14
河北,14
出炉,13
降价,13
首付款,13
情况,13
头部,13
放松,13
热点,13
北京市,13
分化,13
一年,13
西安,13
重磅,13
减少,13
还款,13
箭,13
首批,13
再融资,13
开发商,13
时,13
调查,13
保障,13
社保,13
健康,13
受,13
三孩,13
纾,13
安置,12
跟进,12
政府,12
提供,12
观察,12
迎来,12
青年,12
下行,12
不再,12
化解,12
债务,12
整体,12
上,12
缓解,12
未来,12
两,12
房子,12
修复,12
卖房,12
现,12
二线,12
套数,12
推,12
14,12
置业,12
力度,12
不动产,12
创新,12
高,12
江苏,12
中心,12
企,12
发债,12
公摊面积,12
拍,11
看房,11
小,11
增多,11
逾期,11
地方,11
密集,11
18,11
显现,11
金九银,11
卖,11
降幅,11
万科,11
长沙,11
放开,11
好,11
恒大,11
实探,11
支付,11
大幅,11
官方,11
户籍,11
创,11
启动,11
年龄,11
100,11
门槛,11
交房,11
业绩,11
下半年,11
发放,11
全家,11
困,11
房票,10
库存,10
条,10
延续,10
低,10
却,10
低于,10
升温,10
出让,10
省会,10
参考价,10
REITs,10
只,10
平均,10
筹集,10
钱,10
总体,10
作,10
两成,10
上限,10
下滑,10
价,10
商业地产,10
公寓,10
合肥,10
200,10
措施,10
万亿,10
优惠,10
城区,10
春节,10
建筑,10
指标,10
改造,10
年底,10
425,10
金额,9
涨,9
周期,9
卖地,9
公布,9
房租,9
管理,9
关键,9
趋势,9
京沪,9
业内,9
每月,9
工作,9
明年,9
均,9
关注,9
性,9
合同,9
潮,9
十,9
提振,9
促,9
地区,9
碧桂园,9
涨幅,9
数据,9
现房,9
总,9
证监会,9
找房,9
41,9
抢,9
次,9
国企,9
转型,9
稳定,9
豪宅,9
服务,9
活跃度,9
放款,9
一个,9
增,9
再现,9
条件,9
余额,9
难,9
百亿,9
延长,9
期限,9
做,9
一地,9
江西,9
家房,9
个人住房,9
万亿元,9
新低,9
重庆,9
盘活,9
总额,9
规范,9
专项,9
累计,9
换房,9
精准,8
加码,8
信息,8
高峰,8
跌,8
25,8
满,8
中介费,8
基金,8
四季度,8
走势,8
看,8
微涨,8
降息,8
实行,8
哈尔滨,8
开启,8
网签,8
年期,8
第二批,8
到底,8
有人,8
披露,8
指数,8
重组,8
A股,8
买家,8
收入,8
正,8
发文,8
老旧,8
走,8
摇号,8
期间,8
倍,8
叫停,8
宅地,8
开工,8
办理,8
领域,8
存量房,8
可享,8
年度,8
承压,8
