Word,Frequency
"
",4999
 ,2044
中国,614
文化,581
新,268
年,208
北京,202
2023,198
电影,187
亮相,180
博物馆,179
国际,165
艺术,165
开幕,152
文物,151
考古,150
举办,143
活动,135
发布,133
中,125
传承,123
2022,120
全国,116
发现,114
遗址,111
传统,106
作品,106
启动,105
故事,103
发展,99
时代,96
非遗,94
人,94
上,92
世界,89
浙江,89
春节,85
展出,82
历史,81
山西,80
经典,78
上演,77
日,74
千年,74
创新,74
音乐,73
非,72
首届,71
上海,70
打造,70
文旅,70
新春,70
推出,69
首次,69
福建,68
观众,67
里,67
国家,63
演出,63
文学,63
创作,62
主题,62
年度,61
京,61
中华,59
走进,59
展,59
启幕,59
走,58
丨,58
科幻,58
观察,58
生活,57
阅读,57
演员,57
月,57
新疆,56
天津,56
展现,56
保护,55
艺术家,55
首演,53
更,53
融合,53
戏剧,53
不,52
民族,52
数字,52
项目,52
大,52
文明,51
原创,51
导演,51
图书,50
出版,50
重庆,50
魅力,50
精品,50
研究,49
名家,49
档,48
正式,48
论坛,48
讲述,48
作家,48
何以,48
杭州,48
专家,47
系列,47
助力,46
大型,46
国家大剧院,46
聚焦,45
青年,45
电视剧,44
乡村,43
再现,43
2,43
再,43
京剧,42
沪,42
故宫,42
百年,42
周年,42
开启,42
都,42
揭晓,42
音乐会,42
广州,42
后,42
市场,42
题材,41
首发,41
云南,41
城市,41
研讨会,41
对话,41
成果,40
文化遗产,40
出,40
演绎,39
式,39
展演,39
音乐剧,39
交流,39
影视,39
全球,38
河南,38
看,38
福州,38
基层,38
奖,37
会,37
舞台,37
中心,37
公布,37
探索,37
获,36
新书,36
广东,36
戏曲,36
体验,35
旅游,35
艺术节,35
大师,35
话剧,35
中外,35
票房,34
人生,34
东方,34
精神,34
带来,34
届,34
好,34
技艺,34
海外,33
纪录片,33
作品展,33
陕西,33
总台,33
探寻,32
十大,32
青春,32
节,32
当代,32
大赛,32
山东,32
大会,32
纪念,32
推动,32
下,32
小,32
部,32
诗歌,32
春晚,32
上线,31
著名,31
展示,31
舞蹈,31
歌剧,31
演艺,31
优秀,31
探访,31
未来,31
剧,31
展览,31
古城,30
舞剧,30
沉浸,30
成立,30
周,30
两岸,30
甘肃,30
呈现,30
