Word,Frequency
"
",2385
 ,944
汽车,864
新能源,561
中国,322
月,272
特斯拉,160
车,155
增长,152
市场,148
万辆,146
新,131
车企,120
同比,117
年,107
回应,94
消费,90
超,78
驾驶,78
销量,77
比亚迪,77
发展,77
2022,76
车市,72
降价,71
中汽协,70
万元,69
上海,69
召回,66
充电,66
品牌,66
加速,64
全球,62
二手车,61
乘用车,59
出口,58
汽车产业,57
产销,56
10,55
势力,54
蔚来,54
车型,52
亿元,51
智能,50
1,50
自动,49
涨价,49
发布,47
不,47
车辆,47
政策,47
企业,46
交付,46
上市,46
前,46
7,45
智能网,45
2023,44
5,44
已,43
补贴,43
3,43
联,42
销售,42
北京,42
购置税,41
我国,41
造车,41
9,41
8,41
产业链,39
后,39
元,39
电动车,38
价格,38
时代,38
电动汽车,37
有望,37
小鹏,37
公司,37
部门,36
车展,36
联会,36
工厂,36
万,36
价格战,35
报告,35
国际,35
持续,34
4,34
广州,33
创新,33
电池,33
2,31
达,31
6,31
技术,30
进口,30
电动,30
大,30
亿,30
保时捷,30
预计,30
燃油,29
自主,28
欧洲,28
零售,28
工信部,28
汽车销量,28
动力电池,28
称,27
车主,27
辆,27
环比,27
理想,27
影响,27
专家,26
生产,26
全国,26
汽车行业,26
宝马,26
再,26
新车,26
产品,26
产业,26
12,26
正式,25
布局,25
累计,25
经销商,25
行业,24
丰田,24
11,24
赛道,24
上汽,24
售价,24
仍,24
汽车出口,24
加快,24
中,24
上半年,24
级,23
用户,23
出海,23
下,23
高,23
近,23
月份,23
全新,23
桩,22
建设,22
重庆,22
商务部,22
上,22
打造,22
整车,22
订单,22
马斯克,22
宁德,21
大会,21
更,21
人,21
大众,21
奥迪,21
库存,21
20,21
下降,21
国内,20
奔驰,20
成,20
促销,20
Model,20
支持,20
亏损,20
消费者,19
推动,19
调查,19
免征,19
世界,19
投资,19
数据,19
集团,19
历史,19
创,19
2025,19
去年,19
一季度,19
会,19
月销量,19
落地,18
指标,18
亮相,18
供应链,18
超级,18
未来,18
多家,18
转型,18
开启,18
模式,18
利润,18
科技,17
计划,17
车险,17
占,17
量,17
约,17
国家,17
两,17
吉利,17
还,17
卖,17
国产,17
广告,17
回暖,16
首次,16
平台,16
商品,16
金额,16
17,16
制造业,16
潮,16
流通,16
都,16
30,16
芯片,16
复工,16
购车,15
生态,15
广西,15
突破,15
海外,15
合作,15
看,15
迎来,15
共,15
成本,15
出,15
指数,15
威马,15
15,15
保有量,15
启动,15
广汽,15
家,15
三,15
实施,15
迎,15
竞争,15
买车,15
事故,15
跑,14
项目,14
助力,14
城市,14
调整,14
买,14
开幕,14
出台,14
合资,14
日,14
出行,14
恢复,14
东风,14
广东,14
倍,14
新高,14
福特,14
停产,14
升级,14
一汽,14
预期,14
亿美元,14
万亿,14
疫情,14
工业,14
小客车,13
纯,13
逾,13
相关,13
标准,13
需求,13
化,13
背后,13
目标,13
集体,13
深圳,13
成都,13
下滑,13
难题,13
下乡,13
16,13
4S店,13
蔚小理,13
鼓励,13
上调,13
均,13
传闻,13
豪华,12
交通运输,12
博会,12
观察,12
油价,12
三季度,12
获,12
经济,12
表现,12
二季度,12
业务,12
产能,12
快,12
优惠,12
起火,12
高端,12
推出,12
协会,12
促,12
新增,12
小米,11
测试,11
企,11
造,11
服务,11
上路,11
做,11
提速,11
态势,11
长春,11
破解,11
购买,11
高速,11
破,11
纯电,11
全,11
传统,11
汽车城,11
管理,11
万个,11
增,11
回收,11
延续,11
巨头,11
拟,11
信息,11
年内,11
官方,11
年底,11
减半,11
领域,11
全年,11
减免,10
期,10
好,10
绿色,10
研究,10
焦虑,10
续航,10
聚焦,10
智能化,10
通用汽车,10
40,10
零跑,10
内,10
发放,10
网约车,10
打开,10
基地,10
商用车,10
安徽,10
机动车,10
推进,10
无人驾驶,10
SUV,10
规模,10
正,10
款,10
几何,10
措施,10
豪车,10
1000,10
50,10
超过,10
员工,10
市值,10
国补,10
进,9
提前,9
第一,9
拓展,9
密集,9
多地,9
在线,9
18,9
一辆,9
却,9
板块,9
房车,9
最,9
辅助,9
难,9
华,9
汽车品牌,9
公布,9
业内,9
德国,9
MPV,9
奇瑞,9
挑战,9
裁员,9
2000,9
连续,9
工信,9
体系,9
8000,9
延期,9
零部件,9
厂商,9
定价,9
排名,9
渗透率,9
阶段,9
碳酸锂,9
14,9
大幅,9
退出,9
需,9
300,9
客车,9
原材料,9
无人,9
天津,9
首个,9
路,9
建议,9
试点,9
首批,9
十年,9
Y,9
消息,9
保费,9
积分,9
美国,9
业绩,9
100,9
成品油,9
19,9
IPO,9
哪吒,9
60,8
战略,8
轿车,8
客户,8
驶入,8
下线,8
华为,8
说,8
带来,8
物流,8
汽车产量,8
制造,8
水平,8
百万,8
推广,8
首款,8
下半年,8
加大,8
增加,8
集群,8
交易,8
全系,8
系数,8
共享,8
股价,8
新一轮,8
欧元,8
版,8
复苏,8
蔓延,8
出炉,8
头部,8
中心,8
本田,8
举办,8
实探,8
湖北,8
司机,8
快速,8
系列,8
走,8
拉动,8
净利,8
能源,8
融资,8
复产,8
200,8
设施,8
营收,8
安全隐患,7
数量,7
路线,7
抢,7
汽车业,7
年度,7
研发,7
出租车,7
产销量,7
一辆车,7
成交量,7
部,7
80,7
受,7
百亿,7
呈,7
竞争力,7
机构,7
2030,7
别克,7
加码,7
36,7
进一步,7
总量,7
保险,7
利好,7
经营,7
争议,7
不再,7
回归,7
关注,7
明年,7
部将,7
豪华车,7
风险,7
类,7
日起,7
海南,7
质量,7
事件,7
长城汽车,7
显示,7
公共,7
发改委,7
处于,7
提供,7
遭,7
申请,7
蛋糕,7
MINI,7
雷克萨斯,7
稳定,7
多款,7
联合,7
武汉,7
董事长,7
老,7
实,7
情况,7
收入,7
批发,7
无,7
规范,7
拍卖,7
3000,7
总裁,7
BBA,7
一汽大众,7
500,7
取消,7
暂停,7
提升,7
保值,7
第二,7
锂电,7
商业化,7
缺陷,7
赚,7
半年,7
上游,7
双,7
再创新高,6
掉队,6
融合,6
体验,6
回升,6
碰撞,6
到底,6
门,6
新车型,6
四川,6
多久,6
重塑,6
优势,6
网络,6
不到,6
最新,6
降,6
上涨,6
举措,6
高质量,6
截至,6
准入,6
释放,6
火热,6
日本,6
风口,6
合肥,6
总额,6
淡季,6
能力,6
优化,6
方案,6
动能,6
陆续,6
激发,6
国产汽车,6
领先,6
公安部,6
大关,6
意味着,6
面临,6
口岸,6
产量,6
摇号,6
锂,6
重点,6
宁波,6
小幅,6
活动,6
洗牌,6
碳,6
泄露,6
十位,6
门店,6
CEO,6
地区,6
力度,6
调价,6
110,6
三年,6
两年,6
高管,6
共建,6
沈阳,6
市场竞争,6
加剧,6
驾车,6
亮眼,6
燃料电池,6
领跑,6
格局,6
解读,6
尽快,6
出口量,6
越,6
亏,6
投诉,6
涉及,6
力争,6
市场监管,6
总局,6
客服,6
潜力,6
跨界,6
电车,6
进军,6
应对,6
确认,6
电,6
东盟,6
项,6
三成,6
建立,6
纪录,6
维修,6
缺芯,6
罚,6
家庭,6
里程,6
增速,6
下半场,6
市场化,6
故障,6
量产,6
风波,6
提车,6
跌,6
增加值,6
未,6
减持,6
机遇,6
股份,6
开打,5
申报,5
成功,5
步入,5
业界,5
瓶颈,5
青睐,5
涨,5
链,5
下调,5
浙江,5
突围,5
露营,5
通行,5
公里,5
大考,5
引发,5
加速度,5
升温,5
零售额,5
成立,5
携,5
制定,5
深化,5
免费,5
不淡,5
技术创新,5
限购,5
今日,5
建成,5
林肯,5
王传福,5
发生,5
亿辆,5
陷阱,5
新品,5
皮卡,5
多远,5
48,5
一个,5
家车,5
B,5
大众汽车集团,5
高于,5
真,5
变化,5
利用,5
财政部,5
资源,5
改革,5
加持,5
李斌,5
沃尔沃,5
排放,5
重卡,5
举报,5
完善,5
基础设施,5
冲击,5
十,5
22,5
同期,5
型,5
参与,5
生活,5
强势,5
压力,5
开放,5
否认,5
轮胎,5
C6,5
财报,5
动力,5
第三方,5
保障,5
卷,5
一周,5
损失,5
火爆,5
传言,5
21,5
平均,5
70,5
超车,5
系,5
苹果,5
供应,5
设计,5
长安,5
台,5
抄袭,5
推,5
