Word,Frequency
"
",4999
 ,2320
中国,370
新,204
乡村,198
年,193
人,191
地震,190
北京,185
浙江,181
甘肃,161
发展,158
2023,149
新疆,144
级,136
青海,133
积石山,123
振兴,117
上海,114
寒潮,107
江西,106
中,105
发布,103
专家,103
发生,100
全国,100
文化,100
已,99
广西,97
看,96
山西,95
国际,92
服务,88
天气,88
大,87
影响,86
气温,86
国家,86
建设,85
启动,78
生态,77
持续,77
健康,77
行看,77
警方,76
上,76
城市,74
创新,72
不,72
打造,71
活动,70
冰雪,70
后,69
福建,68
旅游,66
降雪,66
月,65
青年,65
保护,63
预警,63
广东,62
10,61
丨,59
超,59
铁路,58
日,58
重庆,56
山东,56
湖南,56
迎,56
推进,55
世界,55
杭州,55
多地,54
地区,54
四川,53
生活,53
我国,53
县,52
教育,50
安徽,50
开幕,50
保障,49
助力,49
更,49
守护,49
举办,49
高校,49
震区,49
62,49
西藏,48
民众,47
提升,47
网络,47
3,46
合作,46
云南,45
产业,45
12,45
未来,45
2024,44
学生,44
探索,44
广州,44
儿童,44
内蒙古,43
宁夏,43
1,43
中东部,43
模式,43
基层,42
黑龙江,42
应急,42
亿元,41
首次,41
好,41
走进,41
融合,41
灾区,41
工作,41
应对,41
呼吸道,41
天津,40
人员,40
小,40
工程,40
科技,40
岁,40
救援,40
降温,40
成立,40
11,39
治理,39
强,39
医院,38
推动,38
4,38
年轻人,38
深度,38
雨雪,38
赋能,38
江山如画,38
冬季,37
7,37
群众,37
湖北,37
经济,37
最,37
都,37
幸福,37
今冬,37
名,36
公园,36
传承,36
疾病,36
温暖,36
共,36
海南,35
事故,35
河南,35
论坛,35
8,34
医疗,34
千米,34
传统,34
故事,34
两岸,34
南昌,33
近,33
开启,33
开放,33
绿色,33
学校,33
下,33
大赛,33
冷空气,32
致,32
万元,32
全球,32
震源,32
探访,32
中心,32
首届,32
社会,32
低温,32
留学生,32
20,31
案件,31
就业,31
发现,31
项目,31
吉林,31
人才,31
受,31
千年,30
江苏,30
路,30
力量,30
2,30
成都,30
里,30
元旦假期,30
河北,30
高质量,30
景区,30
乡贤,30
企业,30
5,30
湿地,29
出,29
变,29
患者,29
游客,29
万,29
时代,29
市场,28
大学生,28
哈尔滨,28
列车,28
历史,28
共享,28
通报,28
养老,28
交流,28
逾,28
男子,28
恢复,28
开通,28
聚焦,27
破获,27
高铁,27
民生,27
遇难,27
高速,27
再,27
人权,27
背后,27
暴雪,26
数字,26
公安,26
全,26
研究,26
老人,26
死亡,26
老,26
体系,26
公益,26
孩子,26
大会,26
平台,26
兵团,25
下降,25
首批,25
成,25
公里,25
长江,25
消防,25
式,25
万人次,25
站,25
30,25
响应,25
40,25
首个,25
文旅,25
迎来,24
季,24
宁波,24
东北,24
非,24
体验,24
森林,24
旅客,24
部门,24
联合,24
口岸,24
社区,24
一路,24
青海省,24
中外,23
年度,23
爱,23
调查,23
公布,23
台湾,23
机场,23
医保,23
大风,23
预计,23
家,23
雪花,23
创业,23
吃,23
元旦,23
救助,23
一带,23
大部地区,23
冰冻,23
暖,22
活力,22
助,22
专项,22
回应,22
6,22
消费,22
仍,22
达,22
感受,22
管理,22
涉案,22
非遗,22
风险,22
会,22
陕西,22
元,22
华北,22
北方,22
建成,22
紧急,22
候鸟,21
传播,21
新年,21
段,21
连续,21
交通,21
案,21
线,21
15,21
跨年,21
福州,21
区域,21
大雾,21
AI,21
多措,21
专家学者,21
报告,21
受伤,21
冷,21
追着,21
亮相,21
突破,21
小时,20
护航,20
点,20
举措,20
计划,20
视频,20
沪,20
正式,20
做,20
贵州,20
农村,20
市,20
学子,20
来袭,20
长三角,20
就医,20
绘,20
艺术,19
促,19
约,19
黄河,19
免费,19
还,19
去,19
职业,19
官方,19
需,19
智慧,19
构建,19
三,19
中小学,19
中华,19
高,19
家乡,19
希望,19
特色,19
爱心,18
带,18
50,18
医生,18
火灾,18
女孩,18
边境,18
南京,18
地方,18
政策,18
城,18
支持,18
迎新年,18
区,18
安置,18
第一,18
空间,18
关注,18
海外,18
资源,18
周年,18
北部,18
低,18
观察,18
已致,18
国,17
出台,17
100,17
通道,17
出行,17
今日,17
回升,17
致富,17
宣判,17
地铁,17
百年,17
获,17
揭牌,17
技术,17
18,17
何以,17
两,17
黄色,17
市民,17
实施,17
一个,17
卫健委,17
第三届,17
现场,17
共建,17
方式,16
14,16
号,16
启幕,16
成功,16
新型,16
天,16
引,16
9,16
并举,16
培训,16
建筑,16
法院,16
最美,16
只,16
东盟,16
优化,16
现代化,16
法治,16
环境,16
美食,16
直播,16
科学家,16
小伙,16
大熊猫,16
外卖,16
违规,16
法律,16
执法,16
13,16
教师,16
增收,16
水平,16
武汉,16
人民,16
媒体,16
联盟,16
美丽,16
运营,16
过冬,16
冬至,16
趋势,15
海域,15
西安,15
同比,15
学者,15
修复,15
组织,15
项,15
中医,15
时间,15
带来,15
大陆,15
鄱阳湖,15
公路,15
