Word,Frequency
"
",3026
 ,1058
中国,342
科技,203
数字,192
发展,177
新,172
产业,141
年,139
5G,138
创新,134
技术,123
企业,121
全球,120
宇宙,113
手机,108
元,107
2022,106
回应,105
人工智能,105
互联网,99
经济,99
AI,98
发布,95
数据,93
亿元,88
平台,87
工信部,87
我国,84
月,80
智能,79
ChatGPT,76
市场,76
大,75
大会,73
世界,70
用户,68
机器人,68
超,65
不,64
数字化,63
建设,63
未来,63
行业,62
游戏,62
公司,60
报告,58
苹果,56
服务,54
研发,54
加快,53
首次,52
规模,52
助力,52
工业,52
北京,52
增长,52
视频,52
华为,51
转型,49
专家,48
2023,48
推特,48
领域,47
马斯克,47
达,46
已,46
全国,46
打造,46
网络,45
国际,44
推进,43
上海,43
推动,41
启动,40
合作,40
上,40
腾讯,40
首个,39
同比,39
时代,38
智慧,38
部门,38
正式,37
加速,36
亮相,36
量子,36
亿,35
突破,35
赋能,35
融合,35
成,35
城市,34
场景,33
5,33
消费,32
10,32
称,31
直播,31
系统,31
链,31
信息,31
更,30
研究,30
项目,30
国内,30
再,30
裁员,30
模型,29
国产,29
布局,29
聚焦,29
还,29
云,29
相关,29
芯片,29
上线,29
员工,28
中,28
业务,28
提升,28
APP,28
电池,28
2021,28
监管,27
高质量,27
算力,27
小,27
博会,27
3,27
收购,27
家,26
出货量,26
产业链,26
成果,26
开幕,26
微信,26
2,26
会,26
持续,26
基站,26
计划,26
影响,25
制造,25
近,25
人类,25
设备,25
软件,25
开启,24
新型,24
人,24
生态,24
通信,24
支持,24
升级,24
背后,24
产品,24
举办,24
国家,24
8,23
暴雪,23
万,23
功能,23
微软,23
账号,23
营收,23
抖音,23
会员,23
全,23
都,22
后,22
电商,22
计算,22
日,22
大赛,22
高端,22
建成,22
亿美元,22
有望,21
落地,21
CEO,21
基础,21
带来,21
第一,21
前,21
看,21
下降,21
虚拟,21
趋势,20
推出,20
观察,20
院士,20
中心,20
峰会,20
7,20
标准,20
上半年,20
发现,19
广告,19
美国,19
巨头,19
系列,19
运营,19
网易,19
材料,19
投入,19
供应链,19
机构,19
迎来,19
科学家,19
App,19
广东,19
制造业,18
商用,18
6G,18
绿色,18
广州,18
开发,18
需,18
下,18
超过,18
团队,18
折叠,18
出海,18
科创,18
浙江,18
提供,17
12,17
成功,17
阿里,17
运营商,17
最新,17
万亿元,17
工程,17
探索,17
专利,17
开源,17
中小企业,17
先进,17
电子,17
公布,17
屏,17
谷歌,17
上市公司,17
业务收入,17
投资,17
一季度,17
多家,16
赛道,16
款,16
11,16
高,16
1,16
产业化,16
中国移动,16
论坛,16
百度,16
万个,16
累计,16
集团,15
收入,15
出,15
深度,15
说,15
规范,15
设计,15
体系,15
助推,15
调查,15
预计,15
仍,15
热,15
重庆,15
董事长,15
4,15
短,15
治理,15
信通,15
2025,15
科技部,15
14,15
下滑,15
流量,15
藏品,15
成立,15
15,14
自主,14
最,14
需求,14
农业,14
人才,14
无人机,14
长,14
创业,14
正,14
引领,14
工作,14
逾,14
进展,14
一个,14
没,14
院,14
去年,14
20,14
能力,14
工信,14
厂商,14
爱奇艺,14
恢复,14
广电,14
数量,13
三大,13
金融,13
显示,13
变化,13
优化,13
动能,13
好,13
北斗,13
第二,13
自动,13
共享,13
占,13
科学,13
大脑,13
小米,13
主播,13
获,13
智能化,13
6,13
数据安全,13
建议,13
关键,13
区块,13
侵权,13
30,13
关注,13
Meta,13
业绩,13
上市,13
IP,13
发力,13
内容,13
级,12
价格,12
乡村,12
改变,12
光伏,12
十年,12
聊天,12
河南,12
教育,12
资源,12
通道,12
爆发,12
500,12
体验,12
深圳,12
挑战,12
数据中心,12
号,12
装备,12
模式,12
开通,12
山西,12
卖,12
荣耀,12
免费,12
助,12
卫星,12
沪,12
约,12
亚马逊,12
保护,12
打印,12
交易,12
算法,12
净利润,12
删除,12
开放,12
银行,12
外媒,12
预期,12
招聘,12
天津,12
羊,12
科技成果,11
转化,11
培育,11
商业,11
纳米,11
3D,11
展示,11
应,11
50,11
走,11
实施,11
重点,11
地球,11
乌镇,11
生活,11
9,11
100,11
京东,11
关闭,11
长沙,11
计算机,11
二季度,11
新一轮,11
社会,11
业界,11
激光,11
首批,11
协同,11
接口,11
类,11
调整,11
隐私,11
电视,11
虚假,11
盈利,11
三,11
赚,11
小时,11
生物,11
储能,11
诈骗,10
核心,10
登录,10
路,10
热议,10
贸易,10
运行,10
激发,10
大战,10
智造,10
活动,10
首届,10
三季度,10
电信,10
启幕,10
加大,10
变,10
指数,10
解决,10
消费者,10
测试,10
短信,10
鸿蒙,10
新疆,10
品牌,10
遭,10
前沿,10
18,10
两,10
　,10
充电,10
200,10
亏损,10
涨价,10
搜狐,10
汽车,10
24,10
站,10
中央,10
模拟,10
第五届,10
拟,10
风险,10
快,9
无,9
iPhone,9
低碳,9
装置,9
投产,9
引擎,9
虚拟现实,9
内,9
甘肃,9
战略,9
支撑,9
岁,9
优势,9
机遇,9
调研,9
难题,9
安徽,9
多项,9
构建,9
机制,9
共,9
17,9
活力,9
谈,9
博览会,9
新一代,9
区,9
驾驶,9
科研,9
武汉,9
智能手机,9
第六届,9
万元,9
快递,9
离职,9
水平,9
李彦宏,9
一批,9
进一步,9
40,9
组织,9
连接,9
网民,9
空间,9
飞机,9
问世,9
中关村,9
消息,9
停止,9
网信,9
办,9
大幅,9
环境,9
创,9
未成年人,9
股价,9
传闻,9
多个,9
净利,9
基地,9
湖南,9
搜,9
起诉,9
B,9
万部,9
套餐,9
知网,9
周鸿祎,8
分享,8
十大,8
里,8
C919,8
邮轮,8
退款,8
分子,8
生产,8
式,8
高校,8
检测,8
建立,8
管理,8
健康,8
生产力,8
新品,8
警惕,8
大厂,8
变革,8
竞争,8
能源,8
共建,8
提速,8
链接,8
网络安全,8
效应,8
科普,8
光,8
驱动,8
订单,8
规模化,8
美团,8
外卖,8
45,8
创造,8
多方,8
专精,8
特新,8
争议,8
真,8
中国工程院,8
传统,8
微,8
价值,8
化,8
网,8
中科院,8
揭示,8
远,8
数,8
联想,8
换,8
为啥,8
机器,8
知识,8
三年,8
办公,8
会议,8
委员,8
A股,8
两会,8
声音,8
受,8
跨境,8
60,8
线上,8
设立,8
收费,8
电竞,8
社交,8
湖北,8
否认,8
控股,8
硬,8
集群,8
退出,8
工厂,8
连续,8
增速,8
经费,8
增,8
意味着,8
知识产权,8
VR,8
中国联通,8
防疫,8
方式,8
融资,8
违法,8
罗永浩,8
服贸会,8
整改,8
属地,8
信号,7
交付,7
一年,7
网友,7
脑机,7
创始人,7
跑,7
每日,7
保障,7
技术创新,7
千行,7
百业,7
增强,7
飞,7
搭建,7
均,7
造,7
点亮,7
90,7
乱象,7
