Word,Frequency
"
",2495
 ,1031
银行,252
基金,183
央行,181
亿元,181
A股,156
月,143
家,140
中国,131
人民币,130
金融,128
公司,122
超,105
券商,104
机构,100
市场,99
银,96
年,89
保监会,81
5,81
上市,80
新,79
日,77
上市公司,75
回购,75
亿,75
企业,74
年内,74
支持,72
投资,72
操作,71
规模,70
7,68
业务,68
6,66
资金,64
利率,64
发行,63
证券,60
融资,58
贷款,56
罚,56
业绩,55
多家,55
公募,55
逆,55
监管,54
持续,53
经济,53
回应,52
交易,52
美元,52
风险,52
行业,52
3,52
上半年,51
100,51
4,51
股东,50
产品,49
影响,48
1,48
私募,48
逾,48
不,47
基点,47
增长,46
已,46
证监会,46
违规,45
大,44
发展,44
沪,43
股,43
投资者,43
美联储,42
板块,42
加息,41
上海,41
管理,41
点,41
万亿元,41
资产,40
美股,40
一季度,40
股价,38
下调,38
违法,38
指,38
万,37
落地,37
理财,37
中,37
退市,37
董事长,36
部门,36
科创板,36
10,36
只,36
货币政策,36
加大,35
科技,35
中标,34
210,34
2,34
发布,34
中间价,33
再,33
全球,33
IPO,33
政策,33
村镇,32
20,32
近,32
数字,32
试点,31
服务,31
人,31
经理,31
更,31
疫情,31
2021,31
债券,30
仍,30
两,30
30,30
指数,30
后,30
50,30
资本,29
汇率,29
披露,29
股份,29
元,29
实体,29
ETF,29
消费,29
创新,28
稳定,28
REITs,28
受,28
北交所,28
金融机构,28
上,28
预期,28
专家,28
同比,27
拟,27
月份,27
连续,27
万亿,27
保险,26
存款,26
深交所,26
提升,25
国际,25
相关,25
原,25
调整,25
万元,25
股权,25
新增,25
信贷,24
银行业,24
首批,24
推进,24
高,24
成,24
年报,24
下跌,24
我国,23
下半年,23
15,23
有望,23
罚单,23
股票,23
通胀,23
分红,23
情况,23
交易所,23
推动,23
小微,22
跨境,22
称,22
减持,22
布局,22
期,22
美国,22
稳,22
期货,21
外资,21
河南,21
亿美元,21
去年,21
达,21
北京,21
力度,20
还,20
平稳,20
概念股,20
助力,20
信号,20
跌破,20
理财产品,20
预计,20
创,20
专项,20
香港,20
三大,19
调研,19
转型,19
集团,19
函,19
看好,19
行长,19
货币,19
贬值,19
波动,19
暴跌,19
2022,19
投放,18
大幅,18
外汇局,18
出炉,18
新高,18
项目,18
工作,18
反弹,18
改革,18
涨停,18
背后,18
启动,18
余额,18
占,18
新股,18
收益,18
遭,18
三,17
总体,17
上交所,17
前,17
LPR,17
规范,17
收,17
关注,17
金融服务,17
权益,17
半年,17
措施,17
收益率,17
股市,17
出手,17
信用卡,16
报,16
三年,16
释放,16
运行,16
11,16
数量,16
规则,16
增持,16
深圳,16
空间,16
流动性,16
需求,16
美元汇率,16
一度,16
ST,16
上调,16
巨头,16
12,15
优化,15
制度,15
25,15
警示,15
事件,15
类,15
加快,15
客户,15
销售,15
险企,15
40,15
13,15
加速,15
约,15
日元,15
24,15
加仓,15
保监局,15
保障,15
这家,15
历史,15
下,15
看,15
正,15
跌,14
9,14
计划,14
配置,14
70,14
1000,14
上涨,14
养老金,14
月末,14
迎,14
首次,14
分行,14
工具,14
注册,14
估值,14
增加,14
回升,14
正式,14
报告,14
调查,14
会,14
做好,14
下降,14
债,14
大涨,14
全国,14
互联互通,14
账户,14
平台,14
天期,14
道,14
进一步,14
增量,13
创业板,13
有人,13
成长,13
出台,13
保险业,13
能力,13
物流,13
盈利,13
净利,13
港股,13
十大,13
应对,13
挂牌,13
利好,13
两家,13
行情,13
机会,13
贷,13
涉及,13
兑,13
谈,13
时代,13
行,13
信托,13
累计,13
信息,13
倒挂,13
支付,13
养老,13
纳入,13
后市,13
需,13
发生,13
买,13
高管,12
股指,12
国家外汇管理局,12
员工,12
新能源,12
V,12
均,12
千亿,12
处罚,12
现金,12
19,12
涉嫌,12
经营,12
潮,12
化,12
中小银行,12
证监局,12
解禁,12
参与,12
人寿,12
密集,12
暂停,12
实施,12
8,12
赚,12
比例,12
降准,12
未,12
可转债,12
领域,12
百亿,12
价值,12
副行长,12
3000,12
引导,11
科创,11
加码,11
数据,11
投行,11
国家,11
二季度,11
发,11
表现,11
期权,11
互联网,11
龙头,11
21,11
回暖,11
最,11
发债,11
亏损,11
利润,11
年期,11
却,11
重磅,11
子公司,11
债市,11
未来,11
主题,11
处于,11
新低,11
金额,11
内,11
立案,11
天,11
大跌,11
都,11
时,11
发文,11
条,11
信心,11
浙江,11
净值,11
机制,11
绿色,11
策略,11
控股,11
